mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21664209365844728,0.03628183159361571,0.012529659271240234,0.0008373678453306949,20,0.45,1,2,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1441289391.4817986,-22490204056.772133,-4182207653.143164,-5567647.919010515,-6208123320.098385,-6865478413.882898,8102398550.775559,63
0.4883260250091553,0.040310452989522884,0.022165346145629882,0.0041737705735120844,20,0.45,1,2,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1364446307.067413,-21608216225.8585,-4388095663.820268,-15043631.384338463,-6019846576.846947,-6679129680.995493,7761662429.982498,55
0.2411712646484375,0.03683702609015189,0.022486495971679687,0.018222510252233846,20,0.45,1,5,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1491249390.497214,-21492035773.58307,-3386154717.3517227,-6509379.926809445,-7334049109.57243,-6741999674.18625,7773197423.036234,59
0.447176456451416,0.044893313889550146,0.025507545471191405,0.006040148567680517,20,0.45,1,5,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1273903353.6021955,-21095468162.874744,-3998503787.4604573,-21121131.932773005,-6463087892.659335,-6570416865.705901,7596705885.687657,49
0.24960918426513673,0.02234865879433773,0.01106886863708496,0.0011855856809440764,20,0.45,2,2,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1127818519.9817839,-20830260711.655334,-2930198359.677046,-25065751.421378624,-7300783040.429727,-6442825276.633054,7609334687.419282,39
0.42492213249206545,0.08220718337383218,0.01963486671447754,0.002645556582162151,20,0.45,2,2,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-1073059766.5500327,-20717970559.93009,-3687532430.6166916,-30036986.9404126,-6510224459.920533,-6403764840.791553,7501020742.137833,33
0.24342780113220214,0.027944116417778397,0.014125967025756836,0.005861201397091314,20,0.45,2,5,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1088343470.9802394,-20531650872.5369,-2677998581.470827,-36216551.42247007,-7308699276.188649,-6328581750.519817,7524207830.040653,27
0.4278711318969727,0.09293089597184949,0.019968032836914062,0.0011705164159554005,20,0.45,2,5,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1108658159.1440299,-20382567023.018257,-3331387289.0386925,-43105952.17045087,-6586803776.629902,-6290504440.000267,7393401303.836546,19
0.24791717529296875,0.0296320353096592,0.022634315490722656,0.01871752176207325,20,0.5,1,2,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,51
0.4512799263000488,0.07004643594793826,0.020969963073730467,0.0019073398029599846,20,0.5,1,2,200,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1446959919.2626016,-20344044797.53158,-4626653914.920903,-22529785.263320506,-5634613173.70338,-6414960318.136357,7257693462.423889,35
0.24965176582336426,0.030821721838087717,0.01284184455871582,0.0038710256268786056,20,0.5,1,5,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,45
0.41878342628479004,0.05811382872859349,0.019558477401733398,0.0018566310257911239,20,0.5,1,5,200,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1377384528.0976336,-20827051601.73424,-3994684634.664564,-50342159.25124363,-6189186369.171962,-6487729858.583929,7476311129.768525,41
0.21888184547424316,0.024560671856412558,0.011185503005981446,0.0019012670873039229,20,0.5,2,2,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1034475668.2944556,-20046845573.17081,-2885074176.5811615,-52516519.574876405,-7429633549.478822,-6289709097.420025,7330345426.523299,15
0.5025879383087158,0.1128186450072341,0.02566366195678711,0.01013857229425646,20,0.5,2,2,200,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,11
0.23425660133361817,0.03313943751568112,0.014845180511474609,0.00741033231104482,20,0.5,2,5,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
