region,crop,quantity
GREATER ACCRA,CASSAVA,10.65979381443299
VOLTA,MAIZE,1.814760473267437
VOLTA,RICE,3.31250564611802
VOLTA,SORGHUM,1.2138037968934507
VOLTA,CASSAVA,15.784182023219769
VOLTA,YAM,15.600188499570471
VOLTA,COCOYAM,7.861648250666072
VOLTA,PLANTAIN,7.9189696736460995
VOLTA,COWPEA,0.7016764646259883
VOLTA,SOYABEAN,1.153099096191091
ASHANTI,MAIZE,1.128612516929112
ASHANTI,RICE,2.6870319628040886
ASHANTI,CASSAVA,15.636298874269514
ASHANTI,YAM,13.872762242913549
ASHANTI,COCOYAM,6.01223750873515
ASHANTI,PLANTAIN,10.158688891664124
ASHANTI,G'NUTS,1.3004388654656958
ASHANTI,COWPEA,0.2906420945927433
BRONG AHAFO,MAIZE,1.837053297894368
BRONG AHAFO,RICE,1.6041067708333334
BRONG AHAFO,SORGHUM,1.123952380952381
BRONG AHAFO,CASSAVA,15.59386581072238
BRONG AHAFO,YAM,17.305247184653272
BRONG AHAFO,COCOYAM,6.743457146340471
BRONG AHAFO,PLANTAIN,14.48309008106885
BRONG AHAFO,G'NUTS,1.1682741852926122
BRONG AHAFO,COWPEA,0.9467295188556566
NORTHERN,MAIZE,1.4296345423254442
NORTHERN,RICE,2.3340482224856585
NORTHERN,MILLET,1.4463910737150174
NORTHERN,SORGHUM,1.845638598474145
NORTHERN,CASSAVA,14.928419167039856
NORTHERN,YAM,14.475380865084118
NORTHERN,G'NUTS,1.7220852080720208
NORTHERN,COWPEA,1.994123784855462
NORTHERN,SOYABEAN,2.095870212269173
UPPER WEST,MAIZE,1.2271863400148475
UPPER WEST,RICE,1.3515841789190308
UPPER WEST,MILLET,0.8500974542794905
UPPER WEST,SORGHUM,0.7968995178169028
UPPER WEST,YAM,17.96466450710223
UPPER WEST,G'NUTS,1.2236683026005013
UPPER WEST,COWPEA,1.119027588522227
UPPER WEST,SOYABEAN,1.1347472808701218
UPPER EAST,MAIZE,1.735602951348859
UPPER EAST,RICE,2.1428112764291307
UPPER EAST,MILLET,0.8406173044925126
UPPER EAST,SORGHUM,1.0500498263626756
UPPER EAST,G'NUTS,0.7453059071729958
UPPER EAST,COWPEA,0.6147604327666152
UPPER EAST,SOYABEAN,2.7287725631768955
AVERAGE YIELD,MAIZE,1.6458375672145698
AVERAGE YIELD,RICE,2.349471755512263
AVERAGE YIELD,MILLET,1.0293579418806975
AVERAGE YIELD,SORGHUM,1.1790130723598995
AVERAGE YIELD,CASSAVA,16.01241940886943
AVERAGE YIELD,YAM,14.500151488286424
AVERAGE YIELD,COCOYAM,6.359503251743579
AVERAGE YIELD,PLANTAIN,10.757397125938631
AVERAGE YIELD,G'NUTS,1.3036103955291252
AVERAGE YIELD,COWPEA,1.2986104023600964
AVERAGE YIELD,SOYABEAN,1.914286159787076
