COMPARISON OF 2010 AND 2011 CROPPED AREA - CEREALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARISON OF 2010 AND 2011 CROPPED AREA - LEGUMES,,,,,,,,,
REGION,Maize,,,Rice,,,Millet,,,Sorghum,,,,,,,,,,,,,,,,,,,,REGION,G'nuts,,,Cowpea,,,Soyabean,,
BRONG AHAFO,510171.5,434740.50000000006,-14.785420196933766,6572.7,6159.77,-6.282501863769826,,,,425,708.09,66.6094117647059,,,,,,,,,,,,,,,,,,BRONG AHAFO,14132,13694.51,,7292.5,7280.349999999999,,,,
NORTHERN,202316.42000577343,192604.11347200003,-4.800552784344565,185877.2553692953,171293.465,-7.845925172674127,90618.70000000001,79074.2,-12.739644245613778,108495.04666239803,130634.29999999999,20.405773368154076,,,,,,,,,,,,,,,,,,NORTHERN,227650.43672266335,224476.39,-1.3942634015370403,105840.5015641027,124720.47800000002,17.83813961280464,99407.09685854246,126656.14059999998,27.411567787995317
UPPER WEST,96018,82651.0,-13.921348080568228,7290.5,6526.8,-10.475276044167064,64247,54326.65175983436,-15.44095170228281,124040.5,80836.31124260355,-34.83071154775775,,,,,,,,,,,,,,,,,,UPPER WEST,196675.5,162264.78,-17.496190425345304,75968.8,84996.3,11.883167826792052,21218.899999999998,17736.100000000002,-16.41366894608107
UPPER EAST,62255.50000000001,75273.1,20.909959762591253,135220.869,109454.8,-19.054802110464177,64086,50521.100000000006,-21.1667134787629,86612.9,69544.8,-19.706186953675484,,,,,,,,,,,,,,,,,,UPPER EAST,73808.1,56524.00000000001,-23.417619475369232,22800.74,15910.000000000002,-30.22156298435928,20364.399999999998,15117.400000000001,-25.76555164895601
TOTAL,1871695.2850057734,1683983.798072,-10.028955484236013,491603.0298692953,463974.56229999993,-5.620076747012946,218951.7,183921.95175983437,-15.998847344033248,324422.246662398,287068.6076426036,-11.5138956727174,,,,,,,,,,,,,,,,,,TOTAL,530887.2367226634,465102.50800000003,-12.39146925602761,219257.4415641027,236678.59600000002,7.9455248185061205,145935.09685854244,164510.862,12.728785289712302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPARISON OF 2010 AND 2011 AVERAGE YIELD - CEREALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARISON OF 2010 AND 2011 AVERAGE YIELD - LEGUMES,,,,,,,,,
REGION,Maize,,,Rice,,,Millet,,,Sorghum,,,,,,,,,,,,,,,,,,,,REGION,G'nuts,,,Cowpea,,,Soyabean,,
,2010,2011.0,% Change,2010,2011.0,% Change,2010,2011.0,% Change,2010,2011.0,% Change,,,,,,,,,,,,,,,,,,,2010,2011.0,% Change,2010,2011.0,% Change,2010,2011.0,% Change
WESTERN,1.4627464511041008,1.12,-23.431706215755373,1.3439813193228256,1.21,-9.968986725971241,0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,,WESTERN,0,0.0,,0,0.0,,0,0.0,
CENTRAL ,1.8957359076355875,1.9346175597040591,2.0510057287972057,1.2217365967365967,1.239832441068662,1.481157589974917,0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,,CENTRAL ,0,0.0,,0,0.0,,0,0.0,
EASTERN ,2.1988153712799767,2.0860338242066936,-5.129195863663197,3.1226244343891403,3.3538993238166785,7.406426686492676,0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,,EASTERN ,1.2,0.0,,0.7274611398963731,0.0,,0,0.0,
